name,offset,reset_value,num_of_fields,field_separator_mask,field_write_permissions,field_name0..15
COMMAND,0,0,1,1,0,CMD,UNUSED
READ_FRAME_BASE,1,0,1,0x8000,0,ADDR
READ_FRAME_RD_PTR,2,0,1,0x8000,1,PTR
READ_FRAME_WR_PTR,3,0,1,0x8000,0,PTR
READ_FRAME_SIZE,4,0,1,0x8000,0,SIZE
WRITE_FRAME_BASE,5,0,1,0x8000,0,ADDR
WRITE_FRAME_RD_PTR,6,0,1,0x8000,1,PTR
WRITE_FRAME_WR_PTR,7,0,1,0x8000,0,PTR
WRITE_FRAME_SIZE,8,0,1,0x8000,0,SIZE
STATUS,9,0,4,0x8888,1,WRITER_STATE,READER_STATE,DATA_TRANSFER_STATE,TX_DRIVER_STATE
