name,offset,reset_value, num_of_fields,field_separator_mask,field_name0..15
COMMAND, 0, 0, 1, 1, CMD
READ_FRAME_BASE, 1, 0, 1, 15, ADDR
READ_FRAME_RD_PTR, 2, 0, 1, 15, PTR
READ_FRAME_WR_PTR, 3, 0, 1, 15, PTR
READ_FRAME_SIZE, 4, 0, 1, 15, SIZE
WRITE_FRAME_BASE, 5, 0, 1, 15, ADDR
WRITE_FRAME_RD_PTR, 6, 0, 1, 15, PTR
WRITE_FRAME_WR_PTR, 7, 0, 1, 15, PTR
WRITE_FRAME_SIZE, 8, 0, 1, 15, SIZE
STATUS, 9, 0, 4, 0x8888, WRITER_STATE, READER_STATE, DATA_TRANSFER_STATE, TX_DRIVER_STATE
ERROR, 10, 0, 1, 1, ERR_STATUS
